Frame,Velocity (km/h),Timestamp (s)
92,7.71,1746835606.429
92,1114.4,1746835606.429
92,935.93,1746835606.429
93,1.48,1746835606.578
93,604.2,1746835606.578
93,585.99,1746835606.578
93,2.75,1746835606.578
93,4.77,1746835606.578
93,397.05,1746835606.578
93,2.77,1746835606.578
93,29.01,1746835606.578
93,6.52,1746835606.578
93,1037.62,1746835606.578
94,10.77,1746835606.731
94,6.52,1746835606.731
94,7.02,1746835606.731
94,3.62,1746835606.731
94,18.64,1746835606.731
94,1.52,1746835606.731
94,10.61,1746835606.731
94,6.56,1746835606.731
94,18.98,1746835606.731
94,124.48,1746835606.731
95,2.67,1746835606.88
95,4.82,1746835606.88
95,97.5,1746835606.88
95,112.74,1746835606.88
95,18.25,1746835606.88
95,577.18,1746835606.88
95,589.08,1746835606.88
95,20.3,1746835606.88
95,341.74,1746835606.88
95,3.6,1746835606.88
96,6.08,1746835607.031
96,21.7,1746835607.031
96,3.88,1746835607.031
96,9.68,1746835607.031
96,29.5,1746835607.031
96,33.42,1746835607.031
96,20.45,1746835607.031
96,6.82,1746835607.031
96,97.2,1746835607.031
96,77.67,1746835607.031
97,913.28,1746835607.175
97,947.93,1746835607.175
97,111.11,1746835607.175
97,119.03,1746835607.175
97,548.0,1746835607.175
97,521.17,1746835607.175
97,751.26,1746835607.175
97,65.19,1746835607.175
97,787.48,1746835607.175
97,7.73,1746835607.175
97,258.79,1746835607.175
98,840.92,1746835607.33
98,248.79,1746835607.33
98,479.11,1746835607.33
98,6.41,1746835607.33
98,181.94,1746835607.33
98,333.41,1746835607.33
98,722.83,1746835607.33
98,252.88,1746835607.33
98,626.68,1746835607.33
98,38.9,1746835607.33
98,234.85,1746835607.33
99,3.18,1746835607.483
99,556.98,1746835607.483
99,620.86,1746835607.483
99,52.74,1746835607.483
99,343.54,1746835607.483
99,320.65,1746835607.483
99,41.3,1746835607.483
99,725.56,1746835607.483
99,71.42,1746835607.483
99,3.09,1746835607.483
100,3.65,1746835607.631
100,600.22,1746835607.631
100,6.84,1746835607.631
100,569.25,1746835607.631
100,10.52,1746835607.631
100,6.53,1746835607.631
100,369.72,1746835607.631
100,634.0,1746835607.631
100,55.76,1746835607.631
101,218.07,1746835607.786
101,223.33,1746835607.786
101,43.92,1746835607.786
101,12.78,1746835607.786
101,159.24,1746835607.786
101,569.43,1746835607.786
101,101.12,1746835607.786
101,21.43,1746835607.786
101,22.73,1746835607.786
102,37.09,1746835607.935
102,9.71,1746835607.935
102,272.87,1746835607.935
102,300.98,1746835607.935
102,247.61,1746835607.935
102,1.69,1746835607.935
102,1.8,1746835607.935
102,2.28,1746835607.935
102,2.07,1746835607.935
103,9.22,1746835608.092
103,4.58,1746835608.092
103,9.16,1746835608.092
103,13.9,1746835608.092
103,31.42,1746835608.092
103,35.16,1746835608.092
103,538.34,1746835608.092
103,556.9,1746835608.092
103,14.4,1746835608.092
103,17.76,1746835608.092
104,21.05,1746835608.247
104,2.03,1746835608.247
104,311.09,1746835608.247
104,320.68,1746835608.247
104,4.46,1746835608.247
